UNITID,Year,INSTNM,State,Total_Students,Known_Students,Unknown_Students,In_State_Students,Out_State_Students,Foreign_Students,US_Students,Avg_Cost,Median_HH_Income
112075,2016,Concordia University-Irvine,CA,407,407,0,312,73,22,385,53235,79890.85
137476,2016,St Thomas University,FL,195,195,0,151,22,22,173,46539,56846.82
129941,2016,University of New Haven,CT,1128,1126,2,389,715,22,1104,58438,77310.15
110404,2016,California Institute of Technology,CA,235,228,7,55,151,22,206,74763,81448.64
151342,2016,Indiana University-South Bend,IN,913,913,0,872,19,22,891,16667,59249.25
215770,2016,Saint Joseph's University,PA,1274,1274,0,568,685,21,1253,63223,79940.44
214166,2016,Mount Aloysius College,PA,275,275,0,236,18,21,254,36886,45385.58
199962,2016,Wingate University,NC,625,625,0,480,124,21,604,49769,65044.99
137564,2016,Southeastern University,FL,1048,1024,24,578,425,21,1003,39276,60101.07
110538,2016,California State University-Chico,CA,2762,2762,0,2712,29,21,2741,25073,61867.44
125231,2016,Walden University,MN,186,186,0,1,165,20,166,37686.031269160027,62475.08
226587,2016,McMurry University,TX,284,283,1,252,11,20,263,41764,52571.87
200332,2016,North Dakota State University-Main Campus,ND,2503,2503,0,861,1622,20,2483,22201,55831.54
142294,2016,The College of Idaho,ID,238,238,0,137,81,20,218,45607,57741.96
133979,2016,Florida Memorial University,FL,384,384,0,296,68,20,364,28157,48349.61
136330,2016,Palm Beach Atlantic University,FL,505,505,0,273,212,20,485,49839,64221.06
160658,2016,University of Louisiana at Lafayette,LA,3024,3024,0,2877,128,19,3005,22948,47090.8
240462,2016,University of Wisconsin-Platteville,WI,1561,1561,0,1214,328,19,1542,18670,61602.16
156620,2016,Eastern Kentucky University,KY,2635,2635,0,2403,213,19,2616,23384,47617.36
199412,2016,Queens University of Charlotte,NC,279,279,0,138,123,18,261,49480,69597.25
240277,2016,University of Wisconsin-Green Bay,WI,872,872,0,779,75,18,854,17509,63413.11
221740,2016,The University of Tennessee-Chattanooga,TN,2077,2077,0,1984,75,18,2059,23436,55964.16
175856,2016,Jackson State University,MS,1292,1292,0,609,665,18,1274,24570,43401.54
215105,2016,The University of the Arts,PA,413,399,14,136,245,18,381,65881,75947.63
230807,2016,Westminster College,UT,434,434,0,217,199,18,416,49060,70649.66
159939,2016,University of New Orleans,LA,876,876,0,790,68,18,858,20864,51940.24
199148,2016,University of North Carolina at Greensboro,NC,2864,2862,2,2708,136,18,2844,19179,60658.11
111081,2016,California Institute of the Arts,CA,205,152,53,75,59,18,134,74111,74875.2
216597,2016,Villanova University,PA,1678,1678,0,283,1377,18,1660,73042,90091.77
236577,2016,Seattle Pacific University,WA,685,669,16,376,276,17,652,60834,72206.46
207847,2016,Southeastern Oklahoma State University,OK,516,516,0,341,158,17,499,16367,41386.98
217882,2016,Clemson University,SC,3684,3677,7,2282,1378,17,3660,32254,64586.36
213598,2016,Lincoln University,PA,526,525,1,220,288,17,508,26008,51404.66
169910,2016,Ferris State University,MI,1838,1822,16,1696,109,17,1805,23106,61040.62
223117,2016,Baptist Missionary Association Theological Seminary,TX,26,26,0,6,3,17,9,37686.031269160027,48842.7
